X,Y,name,folders,descriptio,altitude,alt_mode,time_begin,time_end,time_when,icon_url
-43.0871057082163,-22.9544771978254,Marcador de local sem título,,,3.535548873647549,absolute,,,,./0.png
-43.0863715667632,-22.9544884773653,Marcador de local sem título,,,3.386579389125397,absolute,,,,./0.png
-43.0848395946522,-22.9547151770818,Marcador de local sem título,,,2.971831873373885,absolute,,,,./0.png
-43.082476484445,-22.9550052795931,Marcador de local sem título,,,3.013388385260547,absolute,,,,./0.png
-43.0837571202285,-22.9548253370664,Marcador de local sem título,,,2.902097622289399,absolute,,,,./0.png
-43.0749550770244,-22.955951607476,Marcador de local sem título,,,3.164731219742141,absolute,,,,./0.png
-43.0746924902925,-22.956008808822,Marcador de local sem título,,,3.261687346248119,absolute,,,,./0.png
-43.0743997354484,-22.9560709872958,Marcador de local sem título,,,3.438560778917064,absolute,,,,./0.png
-43.0752711382037,-22.9559034845879,Marcador de local sem título,,,3.195430146730283,absolute,,,,./0.png
-43.0948258377394,-22.9233290789516,,,,2.360711074743240,absolute,,,,./0.png
-43.0948693658963,-22.9236118061298,,,,3.043379812633076,absolute,,,,./0.png
-43.0949093972948,-22.9238114026751,,,,3.139387829050595,absolute,,,,./0.png
-43.0949394100298,-22.9239741377869,,,,3.178968983914283,absolute,,,,./0.png
