X,Y,name,folders,descriptio,altitude,alt_mode,time_begin,time_end,time_when,icon_url
-43.0949340620503,-22.9163466122225,Marcador de local sem título,ILUMINAÇÃOLED 2024,,2.268080875136518,absolute,,,,./0.png
-43.0958074820384,-22.8861383682919,Comunidade do Rala coco,Comunidades,,70.922046703398792,absolute,,,,./0.png
-43.1137393495697,-22.9304721603066,Comunidade Cascarejo,Comunidades,,28.113065490648829,absolute,,,,./0.png
-43.0895786263763,-22.8733392031515,Comunidade Coronel Leôncio,Comunidades,,29.555962336640970,absolute,,,,./0.png
-43.0950257045006,-22.8910271466155,Comunidade da Yara,Comunidades,,74.714978030766389,absolute,,,,./0.png
-43.0984938487907,-22.8885137121269,Morro do serrão,Comunidades,,104.518541991613404,absolute,,,,./0.png
-43.1000366944684,-22.885101500859,Morro do Juca Branco,Comunidades,,92.820932301652732,absolute,,,,./0.png
-43.1035501338718,-22.885371739376,Morro do Juca Branco,Comunidades,,73.938278417353644,absolute,,,,./0.png
-43.1292323006555,-22.9017199498373,Comunidade Lara Vilela,Comunidades,,33.506301715790222,absolute,,,,./0.png
-43.1164309017022,-22.8965629854484,Morro da Chácara,Comunidades,,30.406222511004000,absolute,,,,./0.png
-43.1166676605921,-22.8984479182261,Morro do Arroz,Comunidades,,77.427412875099691,absolute,,,,./0.png
-43.1135408151113,-22.8857170925265,Comunidade do Sabão,Comunidades,,5.238013591523410,absolute,,,,./0.png
-43.0927626379407,-22.8919441952175,Comunidade Jonathas Botelho,Comunidades,,77.351285315800013,absolute,,,,./0.png
-43.0508922470575,-22.9122367454979,Cantagalo,Comunidades,,162.742364408213604,absolute,,,,./0.png
-43.1247334572104,-22.8794702676266,Penha,Comunidades,,67.903114667556210,absolute,,,,./0.png
-43.1058922715467,-22.8861302966995,Comunidade Boa vista,Comunidades,,89.204618968136700,absolute,,,,./0.png
-43.117432796756,-22.8710660241296,MIC,Comunidades,,71.426673449627344,absolute,,,,./0.png
-43.0517503344434,-22.9092342969313,Comunidade Sítio de Ferro,Comunidades,,106.930191481152903,absolute,,,,./0.png
-43.0892981878848,-22.8747286834594,Comunidade do Santo cristo,Comunidades,,71.629071623839266,absolute,,,,./0.png
-43.0945277493098,-22.8762131635267,Comunidade da Vila Ipiranga,Comunidades,,90.042452258425229,absolute,,,,./0.png
-43.0735268395151,-22.8831786887093,Comunidade da Castro Alves,Comunidades,,73.194707587604100,absolute,,,,./0.png
-43.0886340276849,-22.8865656444865,Comunidade do Eucalipto,Comunidades,,75.429689673867415,absolute,,,,./0.png
-43.0983412795576,-22.9359740640314,Preventório,Comunidades,,66.686552661514796,absolute,,,,./0.png
-43.1275950445165,-22.90497456294,Palácio,Comunidades,,41.420518906825080,absolute,,,,./0.png
-43.1026604495433,-22.9119891181005,Morro do Cavalão,Comunidades,,61.144134408002643,absolute,,,,./0.png
-43.1192866236888,-22.8988885355142,Morro do estado,Comunidades,,78.711886714255627,absolute,,,,./0.png
-43.0819189464978,-22.9053072574029,Comunidade do viradouro,Comunidades,,44.297998488072032,absolute,,,,./0.png
-43.0740761798584,-22.9099768692809,comunidade da igrejinha,Comunidades,,125.289319198135502,absolute,,,,./0.png
-43.1074253396656,-22.8678816446734,Buraco do Boi,Comunidades,,28.243778503292269,absolute,,,,./0.png
-43.0961943043822,-22.8677510010958,Marítimos,Comunidades,,78.552811960511846,absolute,,,,./0.png
-43.0907599537622,-22.8772701955415,Comunidade da Corea,Comunidades,,30.659707984682871,absolute,,,,./0.png
-43.112026066663,-22.9364336570977,Comunidade Salinas,Comunidades,,47.102209455017302,absolute,,,,./0.png
-43.1097703001065,-22.9356311889034,Comunidade do Peixe Galo,Comunidades,,44.895924135375957,absolute,,,,./0.png
-43.0948889263156,-22.9167522567226,TIMIBIRAS,ILUMINAÇÃO ESPORTIVA,,2.283907071604236,absolute,,,,./0.png
-43.0947499409995,-22.9176525115764,AYMORES,ILUMINAÇÃO ESPORTIVA,,2.612289284085152,absolute,,,,./0.png
-43.0944557435261,-22.9194488452836,Marcador de local sem título,ILUMINAÇÃO ESPORTIVA,,2.353357617781715,absolute,,,,./0.png
-43.094329404233,-22.9200795919289,LIDO,ILUMINAÇÃO ESPORTIVA,,2.244040360058788,absolute,,,,./0.png
-43.0946197998144,-22.9184689829596,ITAU,ILUMINAÇÃO ESPORTIVA,,2.361178995164690,absolute,,,,./0.png
-43.0948150741198,-22.9171421091427,Marcador de local sem título,,,2.457643000859067,absolute,,,,./0.png
-43.095822182212,-22.9265076892899,,,,1.810911109556828,absolute,,,,./0.png
-43.0957451474897,-22.9263167256892,,,,2.223810913425004,absolute,,,,./0.png
-43.0950799707765,-22.9248132481097,,,,2.889039632442090,absolute,,,,./0.png
-43.0950687275953,-22.9246782960556,,,,2.906362272278629,absolute,,,,./0.png
-43.0977041160409,-22.9526520873115,Marcador de local sem título,,,2.005685725159221,absolute,,,,./0.png
-43.0975185900521,-22.9529878510902,Marcador de local sem título,,,1.956302006123534,absolute,,,,./0.png
-43.0972860335855,-22.9533051898581,Marcador de local sem título,,,2.249576084365836,absolute,,,,./0.png
-43.0970534168693,-22.953622243248,Marcador de local sem título,,,2.673599295469136,absolute,,,,./0.png
-43.0965032709612,-22.9537806150183,Marcador de local sem título,,,2.947297644590456,absolute,,,,./0.png
-43.0960764209767,-22.9536076883658,Marcador de local sem título,,,2.983585001441027,absolute,,,,./0.png
-43.0954965463966,-22.9535243274726,Marcador de local sem título,,,3.163787680382657,absolute,,,,./0.png
